id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,"SLA xử lý ticket P1 đã thay đổi từ phiên bản trước như sau:

- Thời gian xử lý và khắc phục (resolution) đã giảm từ 6 giờ xuống 4 giờ. [Source: support/sla-p1-2026.pdf | Section: Phần 5: Lịch sử phiên bản]","Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",5,"Câu trả lời của model hoàn toàn chính xác và có bằng chứng trực tiếp trong ngữ cảnh. Thông tin về việc thời gian xử lý và khắc phục đã giảm từ 6 giờ xuống 4 giờ được xác nhận trong tài liệu được trích dẫn, cụ thể là trong 'Phần 5: Lịch sử phiên bản'. Không có thông tin nào bị thêm vào hay sai lệch.",5,"Câu trả lời trực tiếp và đầy đủ thông tin về sự thay đổi SLA xử lý ticket P1 so với phiên bản trước, nêu rõ thời gian xử lý đã giảm và cung cấp nguồn tham khảo cụ thể. Không có thông tin thừa, câu trả lời đi thẳng vào vấn đề.",5,Found 1/1 sources. All sources captured.,4,"Câu trả lời của model đã nêu rõ sự thay đổi về thời gian xử lý SLA từ 6 giờ xuống 4 giờ, nhưng thiếu thông tin về phiên bản hiện tại và ngày có hiệu lực, cũng như không đề cập đến việc phiên bản trước không có thay đổi nào về SLA. | Thiếu: Thông tin về phiên bản hiện tại (v2026.1) và ngày có hiệu lực (2026-01-15), Thông tin về phiên bản trước (v2025.3) không thay đổi SLA này",baseline_dense
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?","Khi làm việc remote, bạn phải sử dụng VPN để kết nối với hệ thống nội bộ. Mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc. [Source: support/helpdesk-faq.md | Section: Section 2: VPN và kết nối từ xa]","Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",1,"Câu trả lời của model hoàn toàn bịa đặt thông tin về việc sử dụng VPN và số lượng thiết bị kết nối. Ngữ cảnh không cung cấp bất kỳ thông tin nào liên quan đến VPN hay chính sách kết nối từ xa, do đó không có bằng chứng nào để hỗ trợ cho các khẳng định trong câu trả lời.",5,"Câu trả lời trực tiếp và đầy đủ thông tin về việc sử dụng VPN khi làm việc remote, đồng thời cung cấp thông tin chính xác về số lượng thiết bị tối đa có thể kết nối. Không có thông tin thừa, câu trả lời đi thẳng vào vấn đề.",5,Found 2/2 sources. All sources captured.,4,"Câu trả lời của model đã đề cập đến việc sử dụng VPN và số lượng thiết bị tối đa có thể kết nối, nhưng thiếu thông tin về phần mềm VPN cụ thể (Cisco AnyConnect) và chính sách HR Leave Policy liên quan đến việc sử dụng VPN. | Thiếu: Thông tin về phần mềm VPN (Cisco AnyConnect), Thông tin về chính sách HR Leave Policy",baseline_dense
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,"Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm sẽ không được hoàn tiền. Theo quy định:
- Đơn hàng đã áp dụng mã giảm giá đặc biệt theo chương trình khuyến mãi Flash Sale không được hoàn tiền.
- Sản phẩm đã được kích hoạt hoặc đăng ký tài khoản cũng không được hoàn tiền. [Source: policy/refund-v4.pdf | Section: Điều 3: Điều kiện áp dụng và ngoại lệ]",Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,"Câu trả lời của model hoàn toàn chính xác và có bằng chứng trực tiếp trong ngữ cảnh. Mọi khẳng định về việc đơn hàng trong chương trình Flash Sale không được hoàn tiền, cũng như các điều kiện liên quan đến mã giảm giá và sản phẩm đã kích hoạt đều được nêu rõ trong tài liệu tham khảo. Không có thông tin nào bị thêm vào hoặc sai lệch.",5,"Câu trả lời trực tiếp và đầy đủ thông tin về việc đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm không được hoàn tiền. Nó giải thích rõ ràng lý do và cung cấp nguồn tham khảo cụ thể, không có thông tin thừa.",5,Found 1/1 sources. All sources captured.,4,"Câu trả lời của model đã nêu rõ rằng đơn hàng trong chương trình Flash Sale và sản phẩm đã kích hoạt sẽ không được hoàn tiền, đồng thời cũng đề cập đến các quy định liên quan. Tuy nhiên, model chưa nhấn mạnh rằng cả hai trường hợp đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách, điều này là một chi tiết nhỏ nhưng quan trọng. | Thiếu: Cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.",baseline_dense
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","Nếu bạn chọn nhận store credit thay vì hoàn tiền, bạn sẽ nhận được giá trị 110% so với số tiền hoàn. [Source: policy/refund-v4.pdf | Section: Điều 5: Hình thức hoàn tiền]","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",1,"Câu trả lời của model hoàn toàn bịa đặt thông tin. Ngữ cảnh không cung cấp bất kỳ thông tin nào về việc nhận store credit hay tỷ lệ hoàn tiền 110%. Do đó, câu trả lời không có cơ sở trong ngữ cảnh và hoàn toàn sai lệch.",5,"Câu trả lời trực tiếp và đầy đủ thông tin về tỷ lệ phần trăm store credit so với số tiền gốc, đáp ứng đúng ý định của người dùng. Không có thông tin thừa nào làm loãng câu trả lời.",5,Found 1/1 sources. All sources captured.,4,"Câu trả lời của model đã cung cấp thông tin chính xác về giá trị store credit là 110% so với số tiền hoàn gốc. Tuy nhiên, nó thiếu một chi tiết nhỏ là thông tin về việc đây là tùy chọn, không phải bắt buộc, điều này không ảnh hưởng lớn đến nội dung tổng thể. | Thiếu: Đây là tùy chọn, không phải bắt buộc.",baseline_dense
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?","Tài liệu không quy định về việc cấp quyền Admin Access cho Contractor từ bên ngoài công ty. Theo quy định chung về phân cấp quyền truy cập, quyền Admin Access chỉ được cấp cho các vị trí như DevOps, SRE, và IT Admin, với phê duyệt từ IT Manager và CISO, thời gian xử lý là 5 ngày làm việc và yêu cầu thêm training bắt buộc về security policy. [Source: it/access-control-sop.md | Section: Section 4: Phân cấp quyền truy cập]","Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",5,"Câu trả lời của model hoàn toàn phù hợp với ngữ cảnh. Thông tin về việc không cấp quyền Admin Access cho Contractor, các vị trí được cấp quyền (DevOps, SRE, IT Admin), yêu cầu phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và yêu cầu training về security policy đều có bằng chứng trực tiếp trong ngữ cảnh.",4,"Câu trả lời cung cấp thông tin chính xác về việc cấp quyền Admin Access cho Contractor, nêu rõ các yêu cầu và thời gian xử lý. Tuy nhiên, nó có thể được cải thiện bằng cách làm rõ hơn về khả năng cấp quyền cho Contractor, vì câu hỏi không chỉ hỏi về quy định mà còn về khả năng thực hiện.",5,Found 1/1 sources. All sources captured.,2,"Câu trả lời của model chỉ đề cập đến việc cấp quyền Admin Access cho một số vị trí cụ thể mà không nhắc đến việc áp dụng cho contractor và third-party vendor. Ngoài ra, model không xác nhận rằng contractor có thể được cấp quyền Admin Access, dẫn đến việc thiếu sót thông tin quan trọng. | Thiếu: Quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor, Cấp quyền Admin Access cho Contractor từ bên ngoài công ty",baseline_dense
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","Quy trình cụ thể để cấp quyền tạm thời cho một engineer xử lý sự cố P1 vào lúc 2 giờ sáng như sau:

1. On-call IT Admin cần được Tech Lead phê duyệt bằng lời trước khi cấp quyền tạm thời.
2. Quyền tạm thời này có thể tồn tại tối đa 24 giờ.
3. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động.
4. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit.

[Source: it/access-control-sop.md | Section: Section 4: Escalation khi cần thay đổi quyền hệ thống]","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",5,"Câu trả lời của model hoàn toàn phù hợp với ngữ cảnh. Mọi khẳng định trong câu trả lời đều có bằng chứng trực tiếp trong ngữ cảnh, cụ thể là từ tài liệu 'it/access-control-sop.md', nơi đề cập đến quy trình cấp quyền tạm thời cho engineer, bao gồm việc phê duyệt của Tech Lead, thời gian tồn tại của quyền, yêu cầu ticket chính thức sau 24 giờ, và việc ghi log vào hệ thống Security Audit.",5,"Câu trả lời cung cấp quy trình cụ thể để cấp quyền tạm thời cho engineer xử lý sự cố P1, bao gồm các bước cần thiết và thời gian tồn tại của quyền, hoàn toàn đáp ứng yêu cầu của câu hỏi mà không có thông tin thừa.",5,Found 2/2 sources. All sources captured.,4,"Câu trả lời của model đã bao phủ hầu hết các ý chính trong đáp án chuẩn, nhưng thiếu thông tin về việc liên hệ với on-call qua hotline, điều này không ảnh hưởng lớn đến nội dung tổng thể. | Thiếu: Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",baseline_dense
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,Tôi không tìm thấy thông tin về mức phạt nếu team IT vi phạm cam kết SLA P1 trong tài liệu hiện tại. Tài liệu chỉ đề cập đến định nghĩa và quy trình xử lý các ticket theo mức độ ưu tiên mà không có thông tin về hình phạt. [Source: support/sla-p1-2026.pdf | Section: Phần 1: Định nghĩa mức độ ưu tiên],"Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",5,"Câu trả lời của model khẳng định rằng không có thông tin về mức phạt nếu team IT vi phạm cam kết SLA P1 trong tài liệu hiện tại, điều này hoàn toàn phù hợp với nội dung ngữ cảnh. Tài liệu chỉ đề cập đến định nghĩa và quy trình xử lý các ticket theo mức độ ưu tiên mà không có thông tin về hình phạt. Mọi khẳng định trong câu trả lời đều có bằng chứng trực tiếp trong ngữ cảnh.",2,"Câu trả lời chỉ đề cập đến việc không tìm thấy thông tin về mức phạt mà không cung cấp bất kỳ thông tin nào liên quan đến câu hỏi. Điều này làm cho câu trả lời chỉ chạm đến một phần nhỏ của câu hỏi, trong khi phần lớn là lạc đề.",5,No expected sources required for this query.,5,"Câu trả lời của model đã bao quát đầy đủ các ý chính từ đáp án chuẩn, nêu rõ rằng tài liệu không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1 và chỉ đề cập đến quy trình xử lý và SLA target.",baseline_dense
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"- Nhân viên phải gửi yêu cầu nghỉ phép năm qua hệ thống HR Portal ít nhất 3 ngày làm việc trước ngày nghỉ. [Source: hr/leave-policy-2026.pdf | Section: Phần 2: Quy trình xin nghỉ phép]
- Số ngày cần giấy tờ khi nghỉ ốm là nếu nghỉ trên 3 ngày liên tiếp, cần có giấy tờ y tế từ bệnh viện. [Source: hr/leave-policy-2026.pdf | Section: Phần 1: Các loại nghỉ phép]

Vì vậy, con số này không giống nhau.",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,5,Câu trả lời của model hoàn toàn chính xác và có bằng chứng trực tiếp trong ngữ cảnh. Thông tin về việc nhân viên phải gửi yêu cầu nghỉ phép năm qua hệ thống HR Portal ít nhất 3 ngày làm việc trước ngày nghỉ và yêu cầu giấy tờ y tế nếu nghỉ ốm trên 3 ngày liên tiếp đều được trích dẫn từ tài liệu hr/leave-policy-2026.pdf. Không có thông tin nào sai lệch hoặc không có trong ngữ cảnh.,5,"Câu trả lời cung cấp thông tin chính xác và đầy đủ về số ngày cần báo trước để xin nghỉ phép năm và so sánh với số ngày cần giấy tờ khi nghỉ ốm. Thông tin được trích dẫn rõ ràng từ nguồn tài liệu, không có thông tin thừa, và trực tiếp giải quyết câu hỏi của người dùng.",5,Found 1/1 sources. All sources captured.,5,"Câu trả lời của model đã bao phủ đầy đủ tất cả các ý chính từ đáp án chuẩn, bao gồm việc báo trước 3 ngày làm việc cho nghỉ phép năm và yêu cầu giấy tờ y tế cho nghỉ ốm trên 3 ngày. Nội dung được trình bày rõ ràng và chính xác.",baseline_dense
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?","Có, mật khẩu tài khoản công ty cần được thay đổi định kỳ mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi mật khẩu hết hạn. Để thay đổi mật khẩu, bạn có thể truy cập vào portal SSO. [Source: support/helpdesk-faq.md | Section: Section 1: Tài khoản và mật khẩu]","Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",2,"Câu trả lời cung cấp thông tin về việc thay đổi mật khẩu định kỳ mỗi 90 ngày và nhắc nhở trước 7 ngày, nhưng không có bằng chứng cụ thể nào trong ngữ cảnh để xác nhận các chi tiết này. Do đó, nhiều thông tin quan trọng không có trong ngữ cảnh.",5,"Câu trả lời trực tiếp và đầy đủ, cung cấp thông tin về việc mật khẩu cần đổi định kỳ, thời gian nhắc nhở và cách thức đổi mật khẩu. Không có thông tin thừa, tất cả đều liên quan đến câu hỏi.",5,Found 1/1 sources. All sources captured.,4,"Câu trả lời của model đã bao gồm các thông tin chính về việc mật khẩu cần thay đổi định kỳ, thời gian nhắc nhở và quy trình đổi mật khẩu. Tuy nhiên, nó thiếu thông tin cụ thể về đường dẫn chính xác để đổi mật khẩu và cách liên hệ với Helpdesk, điều này làm giảm độ đầy đủ của câu trả lời. | Thiếu: Đường dẫn chính xác để đổi mật khẩu, Liên hệ Helpdesk qua số máy",baseline_dense
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,Chính sách hoàn tiền hiện tại không áp dụng cho các đơn hàng đặt trước ngày 01/02/2026. Các đơn hàng này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3. [Source: policy/refund-v4.pdf | Section: Điều 1: Phạm vi áp dụng],Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,1,"Câu trả lời hoàn toàn bịa đặt. Ngữ cảnh không cung cấp thông tin nào về chính sách hoàn tiền áp dụng cho các đơn hàng đặt trước ngày 01/02/2026 hoặc về phiên bản 3 của chính sách hoàn tiền. Do đó, mọi khẳng định trong câu trả lời đều không có cơ sở trong ngữ cảnh.",5,"Câu trả lời trực tiếp và đầy đủ, xác nhận rằng chính sách hoàn tiền hiện tại không áp dụng cho đơn hàng đặt trước ngày 01/02/2026. Thông tin về chính sách hoàn tiền phiên bản 3 cũng là chi tiết cần thiết để làm rõ hơn về tình huống. Không có thông tin thừa làm loãng câu trả lời.",5,Found 1/1 sources. All sources captured.,5,"Câu trả lời của model đã bao phủ đầy đủ tất cả các ý chính từ đáp án chuẩn, bao gồm thông tin về chính sách hoàn tiền không áp dụng cho đơn hàng đặt trước ngày 01/02/2026 và việc áp dụng chính sách hoàn tiền phiên bản 3 cho các đơn hàng đó.",baseline_dense
