id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,SLA xử lý ticket P1 đã thay đổi từ 6 giờ xuống 4 giờ trong phiên bản cập nhật v2026.1 (2026-01-15). [Source: support/sla-p1-2026.pdf | Section: Phần 5: Lịch sử phiên bản],"Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",5,"Câu trả lời của model hoàn toàn chính xác và có bằng chứng trực tiếp trong ngữ cảnh. Thông tin về việc SLA xử lý ticket P1 đã thay đổi từ 6 giờ xuống 4 giờ trong phiên bản cập nhật v2026.1 (2026-01-15) được xác nhận trong tài liệu 'support/sla-p1-2026.pdf', cụ thể là ở phần 5 về lịch sử phiên bản.",5,"Câu trả lời cung cấp thông tin chính xác và đầy đủ về sự thay đổi SLA xử lý ticket P1, nêu rõ thời gian thay đổi và phiên bản cụ thể. Không có thông tin thừa nào làm loãng câu trả lời.",5,Found 1/1 sources. All sources captured.,4,"Câu trả lời của model đã nêu rõ sự thay đổi SLA từ 6 giờ xuống 4 giờ và cung cấp thông tin về phiên bản hiện tại, nhưng thiếu thông tin về phiên bản trước không có sự thay đổi nào. | Thiếu: Thông tin về phiên bản trước (v2025.3) không thay đổi SLA",variant_hybrid_rerank
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?","Khi làm việc remote, bạn phải sử dụng VPN và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc. [Source: hr/leave-policy-2026.pdf | Section: Phần 4: Remote work policy] và [Source: support/helpdesk-faq.md | Section: Section 2: VPN và kết nối từ xa].","Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",5,"Câu trả lời của model nêu rõ yêu cầu sử dụng VPN khi làm việc remote và giới hạn kết nối trên tối đa 2 thiết bị, cả hai thông tin này đều có bằng chứng trực tiếp trong ngữ cảnh từ tài liệu hr/leave-policy-2026.pdf và support/helpdesk-faq.md. Không có thông tin nào bị thêm vào hoặc sai lệch, do đó điểm số là 5.",5,"Câu trả lời trực tiếp và đầy đủ thông tin về số lượng thiết bị tối đa có thể kết nối VPN khi làm việc remote. Nó cũng cung cấp nguồn tham khảo cụ thể, giúp người dùng xác minh thông tin. Không có thông tin thừa nào làm loãng câu trả lời.",5,Found 2/2 sources. All sources captured.,4,"Câu trả lời của model đã đề cập đến việc sử dụng VPN và số lượng thiết bị tối đa được kết nối, nhưng thiếu thông tin về phần mềm cụ thể (Cisco AnyConnect) và nguồn gốc của yêu cầu sử dụng VPN (HR Leave Policy). Điều này làm cho câu trả lời chưa hoàn chỉnh nhưng vẫn đủ để hiểu được nội dung chính. | Thiếu: Thông tin về phần mềm VPN là Cisco AnyConnect, Thông tin về chính sách HR Leave Policy",variant_hybrid_rerank
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,"Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm sẽ không được hoàn tiền. Theo quy định:
- Đơn hàng đã áp dụng mã giảm giá đặc biệt theo chương trình khuyến mãi Flash Sale không được hoàn tiền.
- Sản phẩm đã được kích hoạt hoặc đăng ký tài khoản cũng không được hoàn tiền. [Source: policy/refund-v4.pdf | Section: Điều 3: Điều kiện áp dụng và ngoại lệ]",Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,"Câu trả lời của model hoàn toàn chính xác và có bằng chứng trực tiếp trong ngữ cảnh. Thông tin về việc đơn hàng mua trong chương trình Flash Sale không được hoàn tiền, cũng như các điều kiện liên quan đến mã giảm giá và sản phẩm đã kích hoạt, đều được nêu rõ trong ngữ cảnh. Không có thông tin nào bị thêm vào hay sai lệch.",5,"Câu trả lời trực tiếp và đầy đủ thông tin về việc đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm không được hoàn tiền. Nó cũng cung cấp lý do cụ thể và trích dẫn từ nguồn tài liệu, giúp người dùng hiểu rõ hơn về quy định. Không có thông tin thừa nào làm loãng câu trả lời.",5,Found 1/1 sources. All sources captured.,4,"Câu trả lời của model đã nêu rõ rằng đơn hàng trong chương trình Flash Sale và sản phẩm đã kích hoạt sẽ không được hoàn tiền, đồng thời cũng đề cập đến các quy định liên quan. Tuy nhiên, nó thiếu thông tin về việc cả hai ngoại lệ đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách, điều này làm giảm độ đầy đủ của câu trả lời. | Thiếu: không đề cập đến việc cả hai ngoại lệ đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách",variant_hybrid_rerank
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","Nếu bạn chọn nhận store credit thay vì hoàn tiền, bạn sẽ nhận được giá trị 110% so với số tiền hoàn. [Source: policy/refund-v4.pdf | Section: Điều 5: Hình thức hoàn tiền]","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",1,"Câu trả lời của model hoàn toàn bịa đặt thông tin. Ngữ cảnh không cung cấp bất kỳ thông tin nào về việc nhận store credit hay tỷ lệ 110% so với số tiền hoàn. Do đó, câu trả lời không có cơ sở trong ngữ cảnh và hoàn toàn sai lệch.",5,"Câu trả lời trực tiếp và đầy đủ thông tin về tỷ lệ phần trăm store credit so với số tiền gốc, đáp ứng đúng ý định của người dùng. Không có thông tin thừa làm loãng câu trả lời.",5,Found 1/1 sources. All sources captured.,4,"Câu trả lời của model đã cung cấp thông tin chính xác về giá trị store credit là 110% so với số tiền hoàn gốc. Tuy nhiên, nó thiếu một chi tiết nhỏ là thông tin về việc đây là tùy chọn, không phải bắt buộc, điều này không ảnh hưởng lớn đến nội dung tổng thể. | Thiếu: Đây là tùy chọn, không phải bắt buộc.",variant_hybrid_rerank
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?","Tài liệu không quy định cụ thể về việc cấp quyền Admin Access cho Contractor từ bên ngoài công ty. Theo quy trình chung, nhân viên cần tạo Access Request ticket và có sự phê duyệt từ Line Manager, nhưng không có thông tin về trường hợp đặc biệt cho Contractor. 

Quy trình yêu cầu cấp quyền như sau:
- Nhân viên tạo Access Request ticket trên Jira (project IT-ACCESS).
- Line Manager phê duyệt yêu cầu trong 1 ngày làm việc.
- IT Admin kiểm tra compliance và cấp quyền.
- IT Security review với Level 3 và Level 4.
- Nhân viên nhận thông báo qua email khi quyền được cấp. [Source: it/access-control-sop.md | Section: Section 3: Quy trình yêu cầu cấp quyền]","Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",4,"Câu trả lời của model nêu rõ quy trình cấp quyền Admin Access cho nhân viên, có bằng chứng từ ngữ cảnh về việc tạo Access Request ticket và phê duyệt từ Line Manager. Tuy nhiên, thông tin về việc không có quy định cụ thể cho Contractor là một suy luận không có trong ngữ cảnh, nhưng không sai lệch với quy trình chung đã được đề cập.",3,"Câu trả lời có liên quan đến câu hỏi nhưng chưa đi thẳng vào vấn đề về việc cấp quyền Admin Access cho Contractor. Mặc dù có thông tin về quy trình chung, nhưng không có thông tin cụ thể về thời gian và yêu cầu đặc biệt cho Contractor, điều này làm cho câu trả lời trở nên quá chung chung.",5,Found 1/1 sources. All sources captured.,2,"Câu trả lời của model chỉ đề cập đến quy trình chung cho nhân viên mà không đề cập đến việc cấp quyền Admin Access cho Contractor, cũng như không nêu rõ các yêu cầu và thời gian xử lý theo đáp án chuẩn. | Thiếu: Cấp quyền Admin Access cho Contractor, Phê duyệt từ IT Manager và CISO, Thời gian xử lý 5 ngày làm việc, Yêu cầu training về security policy",variant_hybrid_rerank
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","Quy trình cụ thể để cấp quyền tạm thời cho một engineer xử lý sự cố P1 như sau:

1. On-call IT Admin có thể cấp quyền tạm thời sau khi được Tech Lead phê duyệt bằng lời.
2. Quyền tạm thời này có hiệu lực tối đa trong 24 giờ.
3. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động.
4. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit.

[Source: it/access-control-sop.md | Section: Section 4: Escalation khi cần thay đổi quyền hệ thống]","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",5,"Câu trả lời của model hoàn toàn phù hợp với ngữ cảnh. Mọi thông tin trong câu trả lời đều có bằng chứng trực tiếp trong ngữ cảnh, bao gồm quy trình cấp quyền tạm thời, sự phê duyệt của Tech Lead, thời gian hiệu lực của quyền, yêu cầu về ticket chính thức và việc ghi log vào hệ thống Security Audit.",5,"Câu trả lời cung cấp quy trình cụ thể để cấp quyền tạm thời cho engineer xử lý sự cố P1, bao gồm các bước cần thiết và thời gian hiệu lực của quyền. Thông tin được trình bày rõ ràng, đầy đủ và không có thông tin thừa, hoàn toàn đáp ứng yêu cầu của câu hỏi.",5,Found 2/2 sources. All sources captured.,4,"Câu trả lời của model đã bao phủ hầu hết các ý chính trong đáp án chuẩn, nhưng thiếu thông tin về việc liên hệ với on-call qua hotline, điều này không ảnh hưởng lớn đến nội dung tổng thể. | Thiếu: Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",variant_hybrid_rerank
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,"Tôi không tìm thấy thông tin về mức phạt nếu team IT vi phạm cam kết SLA P1 trong tài liệu hiện tại. Tài liệu chỉ quy định về các tiêu chí và thời gian phản hồi, xử lý cho các ticket P1 mà không đề cập đến hình thức xử phạt. [Source: support/sla-p1-2026.pdf | Section: Phần 2: SLA theo mức độ ưu tiên]","Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",4,"Câu trả lời của model nêu rõ rằng không có thông tin về mức phạt trong tài liệu hiện tại, điều này phù hợp với ngữ cảnh. Model cũng chỉ ra rằng tài liệu quy định về tiêu chí và thời gian phản hồi cho các ticket P1, điều này cũng đúng. Tuy nhiên, có một chi tiết nhỏ là không rõ ràng về việc liệu tài liệu có hoàn toàn không đề cập đến hình thức xử phạt hay không, nhưng điều này không làm sai lệch thông tin chính.",2,Câu trả lời chỉ đề cập đến việc không tìm thấy thông tin về mức phạt mà không cung cấp bất kỳ thông tin nào về khả năng có thể có mức phạt hay không. Điều này chỉ chạm đến một phần nhỏ của câu hỏi và phần lớn là lạc đề khi không giải quyết được ý định của người dùng.,5,No expected sources required for this query.,5,"Câu trả lời của model đã bao quát đầy đủ các ý chính từ đáp án chuẩn, nêu rõ rằng tài liệu không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1, chỉ mô tả quy trình xử lý và SLA target.",variant_hybrid_rerank
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"- Nhân viên phải gửi yêu cầu nghỉ phép năm qua hệ thống HR Portal ít nhất 3 ngày làm việc trước ngày nghỉ. [Source: hr/leave-policy-2026.pdf | Section: Phần 2: Quy trình xin nghỉ phép]
- Đối với nghỉ ốm, nếu nghỉ trên 3 ngày liên tiếp, nhân viên cần có giấy tờ y tế từ bệnh viện. [Source: hr/leave-policy-2026.pdf | Section: Phần 1: Các loại nghỉ phép]

Vì vậy, số ngày báo trước để xin nghỉ phép năm (3 ngày) không giống với yêu cầu giấy tờ khi nghỉ ốm (trên 3 ngày cần giấy tờ).",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,5,"Câu trả lời của model hoàn toàn chính xác và có bằng chứng trực tiếp trong ngữ cảnh. Thông tin về việc nhân viên phải gửi yêu cầu nghỉ phép năm qua hệ thống HR Portal ít nhất 3 ngày làm việc trước ngày nghỉ và yêu cầu giấy tờ y tế cho nghỉ ốm trên 3 ngày đều được trích dẫn từ tài liệu hr/leave-policy-2026.pdf. Không có thông tin nào bị thêm vào hay sai lệch, do đó điểm số là 5.",5,"Câu trả lời trực tiếp và đầy đủ thông tin về số ngày cần báo trước để xin nghỉ phép năm và so sánh với yêu cầu giấy tờ khi nghỉ ốm. Không có thông tin thừa, mọi chi tiết đều liên quan đến câu hỏi.",5,Found 1/1 sources. All sources captured.,5,"Câu trả lời của model đã bao phủ đầy đủ tất cả các ý chính từ đáp án chuẩn, bao gồm việc báo trước 3 ngày làm việc cho nghỉ phép năm và yêu cầu giấy tờ y tế cho nghỉ ốm trên 3 ngày. Nội dung được trình bày rõ ràng và chính xác.",variant_hybrid_rerank
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?","Có, mật khẩu tài khoản công ty cần được thay đổi định kỳ mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi mật khẩu hết hạn. Người dùng có thể thay đổi mật khẩu qua portal SSO. [Source: support/helpdesk-faq.md | Section: Section 1: Tài khoản và mật khẩu]","Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",5,"Câu trả lời của model hoàn toàn chính xác và có bằng chứng trực tiếp trong ngữ cảnh. Thông tin về việc mật khẩu cần được thay đổi định kỳ mỗi 90 ngày, hệ thống nhắc nhở 7 ngày trước khi hết hạn, và cách thay đổi mật khẩu qua portal SSO đều được xác nhận trong ngữ cảnh.",5,"Câu trả lời trực tiếp và đầy đủ thông tin về việc mật khẩu cần đổi định kỳ, thời gian nhắc nhở và cách thức đổi mật khẩu. Không có thông tin thừa, tất cả đều liên quan đến câu hỏi.",5,Found 1/1 sources. All sources captured.,4,"Câu trả lời của model đã bao phủ hầu hết các ý chính trong đáp án chuẩn, nhưng thiếu thông tin cụ thể về đường dẫn để đổi mật khẩu và thông tin liên hệ với Helpdesk. Điều này không ảnh hưởng lớn đến nội dung tổng thể, nhưng vẫn là những chi tiết quan trọng. | Thiếu: Đường dẫn cụ thể để đổi mật khẩu, Thông tin liên hệ Helpdesk qua ext. 9000",variant_hybrid_rerank
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,Chính sách hoàn tiền hiện tại không áp dụng cho các đơn hàng đặt trước ngày 01/02/2026. Các đơn hàng này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3. [Source: policy/refund-v4.pdf | Section: Điều 1: Phạm vi áp dụng],Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,1,"Câu trả lời của model hoàn toàn sai lệch với ngữ cảnh. Ngữ cảnh không cung cấp thông tin nào về ngày 01/02/2026 hay chính sách hoàn tiền phiên bản 3. Do đó, câu trả lời không có bằng chứng nào trong ngữ cảnh và là một sự bịa đặt hoàn toàn.",5,"Câu trả lời trực tiếp và đầy đủ, xác nhận rằng chính sách hoàn tiền hiện tại không áp dụng cho đơn hàng đặt trước ngày 01/02/2026. Thông tin về chính sách hoàn tiền phiên bản 3 cũng là một chi tiết hữu ích, không làm loãng câu trả lời.",5,Found 1/1 sources. All sources captured.,5,"Câu trả lời của model đã bao phủ đầy đủ tất cả các ý chính từ đáp án chuẩn, bao gồm thông tin về chính sách hoàn tiền không áp dụng cho đơn hàng đặt trước ngày 01/02/2026 và việc áp dụng chính sách hoàn tiền phiên bản 3 cho các đơn hàng đó.",variant_hybrid_rerank
